id,review,aspect,sentiment
403,this product is well thoughts the kids seem to like the apps,overall,positive
717,my husband loves this. he is happy that he can read anything he chooses from his library and that he also has wifi access to get to his email and the internet whenever he wants.,connectivity,positive
38,"this is a great tablet. it has amazing storage. i use mine daily. great for reading, surfing the web and games. the one small thing i don't like is amazon prime shows are a bit dark for some reason. hulu and netflix work wonderful.",performance,positive
641,i have an original gen 1 echo that has been relocated to my bedroom by simply unplugging and plugging back in!now that i have the gen 2 echo plus in my living room and set up to work seamlessly with my gen 1 i could not be happier. along with the built in hue it makes it that much better. everything works just like i want and the sound on both devices are perfect for me.,overall,positive
212,"first of all, this is not an ipad or a more expensive android tablet, but it's a very good tablet for the money. i own an ipad pro and ipad air 2, yet this tablet has a place in my home. if you're buying for kids, i wouldn't buy anything more expensive than this. good screen, fast enough, and amazon's underground free apps are a huge plus.",price,positive
633,not easy to navigate and download apps to the device,usability,negative
555,new larger screenis great for watching prime movies and reading books,screen,positive
66,it has great speakers and is very easy to set up love my echo,sound,positive
126,"i got this tablet for my mother and cousins. it's been very speedy to my surprise, not as fast as a high end tablet but no lag and a very nice 720p display with good build quality. would definitely recommend if your looking for an affordable tablet",performance,positive
253,definitely worth the money. the sound is awesome!!,sound,positive
497,set up was simple. we liked so much we bought one for my mom,design,positive
549,"bought this for my 90+ year-old, totally no-tech mom. her first e-book is gone with the wind. she likes the size and ease of use.",usability,positive
574,"i like my show, but i can't say i love it, for being the priciest piece of my collection of alexa devices, it has probably the worst microphone. getting it to respond is frustrating at times, where i have no problem with a standard echo. besides this, it all works as advertised. i'd wait for the second generation, i'm sure they can work the kinks out.",performance,negative
394,bought the amazon - echo plus + philips hue bulb - black for my kitchen it is awesome also came with free smart bulb.,overall,positive
759,perfect for my son! he has fine motor deficits and the games definitely help him work on using one finger at a time to play them! i also don't have to worry about him getting onto anything that isn't kid friendly since he doesn't know my passcode for the adult profile!!,usability,positive
696,"i had some thoughts about getting this for a 5 year old, but if you get the screen protector and a case i feel it will last a long time.",build_quality,neutral
148,my daughter picked this tablet after her hd fire battery would no longer work. the insurance kicked in and she picked this one instead of the hd. she wanted more memory for her music does not use it to watch movies really. she loves the blue color and is working just perfect for her.,design,positive
225,"it is a nice little no frills tablet, but it could be better, for one it is only limited to amazons web browser, and i like chrome. it is no big deal because what i paid for it i did not expect it to be blazing fast or anything like that.",performance,positive
144,great for little kids the case on it is amazing. my daughter loves it. only thing i would change is the sound a little louder and screen a little bigger.,design,positive
655,wife really likes it. works great& likes the front & back camera.,camera,positive
13,"i purchased this table to use to check my email and get on facebook, but i use it for so much more. it is a great tablet for a good price.",price,positive
22,we bought this for our 2 yr old granddaughter and she loves it! it has so many apps and videos for her to watch. i would definitely recommend this to anyone who is looking for a tablet for a child.,usability,positive
8,"i like this e reader, but wish the screen were higher resolution. it requires decent light to look good, but it is easy on my eyes. the screen updates involve flashing the whole screen, which i noticed less over time. the advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",battery,negative
342,works great !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,overall,positive
693,my daughter loves her tablet. amazon has plenty of games for her to play. it is also easy for her to use.,usability,positive
519,"it is a very good e-reader, battery lasts for weeks.",battery,positive
193,"great product, user friendly and can't be beaten for the promotion prices.",price,positive
236,"got this when it was on sale mainly to get the books not available @ b&n and to play audiobooks. main drawback: the constant advertising! you turn it on and get a ad. let it sit for a moment or two, another ad pops up. ads for nothing i've ever expressed an interest in. very irritating.color is very crisp and clean.love my older nook but lately b&n doesn't always have the books that are available on amazon. will continue to use the nook as my primary e-reader with the fire as my primary audiobook player.",usability,positive
33,"as i age, it's difficult for me to see the smaller screens so when this one came out .... i was delighted!!! love playing my games!!!",screen,positive
95,i bought this because the package said it was a fast charger only to find it charges at normal speed... that was disappointing. i'm pretty sure i'm not doing anything wrong. it seems pretty self explanatory... :/,battery,negative
426,great little tablet after you add google play store. takes some research to do.,overall,positive
363,"i love all of my amazon echo devices. right now it doesn't allow youtube, but hopefully they will reach an agreement and fix that.",overall,positive
725,want a port for addition memory this model had it!,performance,positive
226,"love this product. it is nice looking, easy to carry, and the sound is amazing. very easy to set up and connect to amazon echo. nothing to complain about th he speaker itself. however the carrying case is kind of stupid and useless also. one has to take it down just in order to charge.",overall,positive
164,"i bought the white version and have it in the kitchen. i use it for everything, music, video, phone, security cams, news, weather. it's the perfect kitchen assistant.",usability,positive
507,i upgraded to have more memory and this is a great little tablet. works great and does everything i need it to do.,performance,positive
756,this is a great tablet at a great price! we bought a number of them as raffle prizes for our employee appreciation party and everybody loved them!,price,positive
152,i bought this as an affordable alternative to the ipad mini. i liked the expandable storage option and size. super easy to use. unfortunately granddaughter wanted and ipad mini to go with her other apple products. so i ended up returning it. in hindsight i should've kept it for myself.,usability,positive
422,good tablet for my baby.keeps him busy. i love it.,overall,positive
577,"worked fine first time out of the box. plug it in, set it up with you amazon account and you are ready to go. it is very convenient to turn on and off the phillips light by voice.",usability,positive
316,good product for child. who only need to read the books,overall,positive
453,replacement tablet for my wife - no complaints! she watches netflix on it a lot.,overall,positive
123,"i purchased this on black friday because i could pass on the price. the tablet works great for basic internet needs and great for shopping on amazon. if i were to purchase another android tablet, i will look for something with a little more power since this tablet slows when multi-tasking.",overall,positive
229,kindle voyage is easily the best e-reader with an impressive high-resolution display and it is very thin and light weight too. loving it.,screen,positive
617,"the show is definitely amazing, especially if you have the doorbell with video and security cameras, you can see it with echo show.",usability,positive
23,"it a great product..,. the quality is awesome the pictures is good and clear...",build_quality,positive
545,the color is what got me and the features was on point. the screen shows a lot of different displays. to share for now until the next one.,design,positive
687,i had the 4th generation. i am quite happy with the upgrade. good battery life,battery,positive
329,"love this! we have it on our kitchen counter and great for music, news updates, amazon delivery updates, recipes, timer, and soo much more!",overall,positive
690,i bought this for my husband who is in a nursing home to be able to listen to music.. he loves it... and uses it every day for music and other things too.,usability,positive
421,this tablet is very good for my daughter of age five.,overall,positive
173,upgraded from my old kindle keyboard. i love the ability to adjust brightness and font. i have small hands and this is not too big to hold in one hand. i was able to change the page turning buttons for left handed use. the charging cover last a long time. i wish there were more colors to choose from.,usability,positive
320,"this amazon fire is better then i expected. it does exactly what i need it to do. fits in my bag, very light weight. love that i can carry so many book on one device.",overall,positive
131,"i got it on a pretty good sale... so i feel it was worth it. the sound is good, i like that it's portable and rechargeable. i think it is best if you have a prime account so you have access to the prime music.",overall,positive
285,a friend recommended the tablet and i am happy with it.,overall,positive
159,"i absolutely love my amazon tap. it in my opinion is the best blue-tooth speaker around and with the added skills when on wifi, the tap is better than the echo! portable - yes! sound quality - off the charts! i blue-tooth this to my computer and listen to movies with great dolby sound quality. the battery life has been tested during a camping trip. 8 hours and it kept the charge! it's also easy to recharge it without the stand. very cool. best buy's price made it all the best buy of the christmas season! i picked up the item same day at a local best buy. the experience was 1 - 2 - done. very convenient, very helpful. i would recommend this to all my friends!!!",overall,positive
165,"this is a great addition to the other alexa products by amazon. it works great in the kitchen. better voice recognition and sound. the onscreen display and information are very helpful. the video capability is watching instructional videos or even playing music videos while working/cooking. it can also scroll personal photos as a picture display.all in all echo show is a wonderful addition. well worth it, especially if you get it on sale.",overall,positive
197,"this was a present for my husband who originally had asked for a radio for his home office. he set it up relatively quick and was amazed at the sound quality. he loved the versatility and that he could have a specific radio station played or a random song as well as tell a joke, etc. it has been fun for all of us and we are looking into getting the smaller ""dots"" for other rooms now. he commented that he would never get rid of this! it's very fun and functional. the smart bulb is very handy as well. love it!",sound,positive
251,"the visual quality on the fire 8 hd is amazing. it runs very fast and is easy to use, very durable.",overall,positive
140,so i was looking for a bluetooth speaker for my part time job. a guy i work with at bestbuy showed me his amazon tap speaker and it was awesome! i loved u can hook it up via wifi and stream music and such. its portable its got clean and crisp sound. it also can leave the phone i had my phone placed upstairs and i was in the basement with the speaker and it was still connected. its very easy to use i have no complants about this speaker at all,connectivity,positive
168,the echo is very easy to use and has features that allow users to converse easily with others who may have a hard time learning how to communicate using newer videophone technology. this product removes those barriers.,usability,neutral
495,super easy to set up and use :)got one for daughter and got one for self!!!!!!,usability,positive
559,my grand daughter loves it and so do her parents! very durable. i'd highly recommend this product,build_quality,positive
54,this is a great tablet for the price. i have one that i purchased a few years ago and use it much more than my laptop. recently purchased two more for gifts.,price,positive
499,"amazing how much stuff this can do everything from a alarm clock to listening to music,asking questions and controlling devices .the sound front the speakers is really great.",sound,positive
84,"smartphone works on the job for me, but with the fire i can read instructions and worksheets. it is a useful tool for connecting with both friends and colleagues. 8-inches is the right size for holding in hand and carrying with you. gives me the information, beats printing everything out, or carrying around a large laptop.",connectivity,neutral
586,my daughter loves her new tablet. plenty of games and videos to watch,usability,positive
596,enjoying using alexa.... and love the smart home features.,usability,positive
