id,review,aspect,sentiment
1,"i use the echo show to stream music, video chat, and drop in as a camera from my home. you can even see recipes and other items. worth the money, got it on sale! i always wait for sales.",camera,positive
2,"very little set up, amazon helpful in setting up the functions. clear pictures and easy to use. take pictures both ways",usability,positive
3,"even though it is a little pricy, i like my new kindle voyage. it looks smaller, but it is because it's only the screen - no buttons. it is lightweight. you can scroll and turn pages with touch screen press or with physical small buttons on the side. it is automatically adjusts to different light conditions.",design,positive
4,i own a dot and a first gen echo and the sound from the show is way better than both of my other echoes. the video functions are nice but it is a pain to get it to play videos from my amazon library. my family enjoys the calendar info and the news briefings that rotate on the screen.,overall,positive
5,"this is a perfect upgrade to my kitchen amazon echo. the speaker itself is a substantial upgrade over the echo and dot. i have it connected to my nest security cams and it's great to check on my dogs when they are having play time in my fenced backyard. it can be a bit distracting with it's random invitations to ""try"" certain skills, but the distraction is worth it! this product absolutely represents the future that i imagined when i first watched back to the future 2 decades ago! the only con's that i can think of is sometimes alexa doesn't hear me so well (same for the echo and dot) and it currently can't differentiate between users like google home can. i have had the google home too, and would highly recommend any of the amazon devices over the google home.",overall,positive
6,"i have several versions of amazon's echos - the original, and echo plus, 2 taps and 2 dots. the show is the best sounding of the bunch and you have the screen as a bonus. i added a battery pack to make it portable and it's perfect for us.",sound,positive
7,"bought 2 for each of my children ( 10 & 15) and they love them. i was a little worried about them adapting to a new operating system, no problems there. the sound and playback images are just fine. they take them everywhere, not like leaving their other tablets at home, i'm thinking about buying me one. very kid durable",overall,positive
8,"i like this e reader, but wish the screen were higher resolution. it requires decent light to look good, but it is easy on my eyes. the screen updates involve flashing the whole screen, which i noticed less over time. the advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",battery,negative
9,"this is my second echo purchase. my first was the original echo for my home and the automation feature aside. the sound is excellent, alexa's response is better than any digital assistant to date, and the ready access to prime is convenient. this is all of that and portable and rechargeable as well. additionally the inclusion of bluetooth and a headphone jack is amazing.",design,positive
10,"the tablet is pretty good, i would give it 5 stars if you are able to download an use apps from the google store, that is one of my only big complaint. and also how fast the sd card got filled with items from amazon os that's on the tablet without the user knowing. on the other hand, with four kids using tablets as reward time it helps the kids free time is awesome it useful",usability,positive
11,"i picked this up after purchasing an echo. i wanted something battery powered that would work the same as my echo. i use both devices mostly for music. it's great to be able to hear pandora, or my amazon music library with just the speaker now and not have to use my phone, laptop, etc. i can just grab the tap and go anywhere in my house, outside to the deck, anywhere that i my wireless will reach.",design,positive
12,i got this tablet on a deal and has good quality of video you can watch.,screen,positive
13,"i purchased this table to use to check my email and get on facebook, but i use it for so much more. it is a great tablet for a good price.",price,positive
