model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,42,1,val,122,1.0869,0.4098,0.3133,0.5405,0.2456,0.1538
Standard BERT ABSA,42,1,in_domain,123,1.0869,0.5447,0.452,0.6627,0.5333,0.16
Standard BERT ABSA,42,1,laptop,2313,1.0869,0.4561,0.3163,0.3639,0.5726,0.0124
Standard BERT ABSA,42,1,restaurant,3602,1.0869,0.4475,0.3333,0.5737,0.3885,0.0377
Standard BERT ABSA,42,2,val,122,0.8147,0.6803,0.4287,0.8065,0.3889,0.0909
Standard BERT ABSA,42,2,in_domain,123,0.8147,0.7561,0.5979,0.8438,0.75,0.2
Standard BERT ABSA,42,2,laptop,2313,0.8147,0.5659,0.4185,0.6248,0.6306,0.0
Standard BERT ABSA,42,2,restaurant,3602,0.8147,0.6188,0.4228,0.7688,0.4995,0.0
Standard BERT ABSA,42,3,val,122,0.5668,0.8443,0.4818,0.9238,0.5217,0.0
Standard BERT ABSA,42,3,in_domain,123,0.5668,0.9024,0.6409,0.945,0.7778,0.2
Standard BERT ABSA,42,3,laptop,2313,0.5668,0.6701,0.5009,0.771,0.7148,0.0171
Standard BERT ABSA,42,3,restaurant,3602,0.5668,0.6718,0.4348,0.7995,0.4985,0.0063
Standard BERT ABSA,42,4,val,122,0.3999,0.8361,0.4854,0.9179,0.5385,0.0
Standard BERT ABSA,42,4,in_domain,123,0.3999,0.9024,0.6912,0.9479,0.8182,0.3077
Standard BERT ABSA,42,4,laptop,2313,0.3999,0.6714,0.5053,0.7788,0.7157,0.0214
Standard BERT ABSA,42,4,restaurant,3602,0.3999,0.6941,0.4793,0.8214,0.601,0.0155
Standard BERT ABSA,42,5,val,122,0.2404,0.8279,0.4645,0.9135,0.48,0.0
Standard BERT ABSA,42,5,in_domain,123,0.2404,0.9024,0.6369,0.9488,0.7619,0.2
Standard BERT ABSA,42,5,laptop,2313,0.2404,0.6857,0.516,0.7922,0.7302,0.0256
Standard BERT ABSA,42,5,restaurant,3602,0.2404,0.7013,0.4833,0.824,0.6135,0.0124
Extended BERT ABSA,42,1,val,122,1.1504,0.7377,0.36,0.8515,0.2286,0.0
Extended BERT ABSA,42,1,in_domain,123,1.1504,0.8862,0.5026,0.9364,0.5714,0.0
Extended BERT ABSA,42,1,laptop,2313,1.1504,0.4367,0.2875,0.575,0.2788,0.0087
Extended BERT ABSA,42,1,restaurant,3602,1.1504,0.5802,0.3263,0.7351,0.2409,0.0031
Extended BERT ABSA,42,2,val,122,0.9504,0.582,0.3317,0.7283,0.2667,0.0
Extended BERT ABSA,42,2,in_domain,123,0.9504,0.7724,0.5067,0.8629,0.5143,0.1429
Extended BERT ABSA,42,2,laptop,2313,0.9504,0.4842,0.3655,0.4586,0.5776,0.0601
