model,seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
Extended BERT ABSA,42,1,val,122,1.1583,0.7377,0.3619,0.8431,0.2424,0.0
Extended BERT ABSA,42,1,in_domain,123,1.1583,0.8862,0.4878,0.9369,0.5263,0.0
Extended BERT ABSA,42,1,laptop,2313,1.1583,0.4202,0.2794,0.5568,0.2643,0.0171
Extended BERT ABSA,42,1,restaurant,3602,1.1583,0.535,0.3285,0.6925,0.284,0.009
Extended BERT ABSA,42,2,val,122,0.9954,0.5246,0.3011,0.6747,0.2286,0.0
Extended BERT ABSA,42,2,in_domain,123,0.9954,0.6911,0.468,0.8043,0.3774,0.2222
Extended BERT ABSA,42,2,laptop,2313,0.9954,0.4643,0.3253,0.3815,0.5773,0.017
Extended BERT ABSA,42,2,restaurant,3602,0.9954,0.3912,0.3069,0.4579,0.4083,0.0545
Extended BERT ABSA,42,3,val,122,0.8076,0.6967,0.4227,0.8235,0.4444,0.0
Extended BERT ABSA,42,3,in_domain,123,0.8076,0.748,0.5944,0.8377,0.6957,0.25
Extended BERT ABSA,42,3,laptop,2313,0.8076,0.6291,0.5088,0.7251,0.667,0.1343
Extended BERT ABSA,42,3,restaurant,3602,0.8076,0.6535,0.501,0.7962,0.5111,0.1956
Extended BERT ABSA,42,4,val,122,0.4113,0.8279,0.4091,0.9116,0.3158,0.0
Extended BERT ABSA,42,4,in_domain,123,0.4113,0.8943,0.5374,0.9455,0.6667,0.0
Extended BERT ABSA,42,4,laptop,2313,0.4113,0.6706,0.5602,0.7717,0.7006,0.2083
Extended BERT ABSA,42,4,restaurant,3602,0.4113,0.6749,0.5086,0.8101,0.5034,0.2123
Extended BERT ABSA,42,5,val,122,0.1959,0.8361,0.4787,0.9143,0.5217,0.0
Extended BERT ABSA,42,5,in_domain,123,0.1959,0.8862,0.6463,0.939,0.6667,0.3333
Extended BERT ABSA,42,5,laptop,2313,0.1959,0.6753,0.576,0.7752,0.718,0.2347
Extended BERT ABSA,42,5,restaurant,3602,0.1959,0.678,0.558,0.8191,0.5754,0.2795
Extended BERT ABSA,42,6,val,122,0.1344,0.8361,0.3842,0.9174,0.2353,0.0
Extended BERT ABSA,42,6,in_domain,123,0.1344,0.8862,0.5535,0.9455,0.5333,0.1818
Extended BERT ABSA,42,6,laptop,2313,0.1344,0.687,0.5855,0.7819,0.718,0.2565
Extended BERT ABSA,42,6,restaurant,3602,0.1344,0.6885,0.5492,0.8251,0.519,0.3034
Extended BERT ABSA,42,7,val,122,0.0769,0.8443,0.4086,0.9182,0.3077,0.0
Extended BERT ABSA,42,7,in_domain,123,0.0769,0.8862,0.6198,0.9364,0.4615,0.4615
Extended BERT ABSA,42,7,laptop,2313,0.0769,0.645,0.575,0.7736,0.6354,0.3159
Extended BERT ABSA,42,7,restaurant,3602,0.0769,0.6638,0.5093,0.8187,0.3604,0.3489
Extended BERT ABSA,42,8,val,122,0.03,0.8279,0.4091,0.9116,0.3158,0.0
Extended BERT ABSA,42,8,in_domain,123,0.03,0.9106,0.6941,0.9541,0.6667,0.4615
Extended BERT ABSA,42,8,laptop,2313,0.03,0.6874,0.6073,0.7864,0.7157,0.3198
Extended BERT ABSA,42,8,restaurant,3602,0.03,0.6849,0.5572,0.8269,0.4921,0.3527
Extended BERT ABSA,42,9,val,122,0.0079,0.8443,0.4249,0.9217,0.3529,0.0
Extended BERT ABSA,42,9,in_domain,123,0.0079,0.8943,0.6167,0.9455,0.5714,0.3333
Extended BERT ABSA,42,9,laptop,2313,0.0079,0.674,0.6024,0.7814,0.6912,0.3346
Extended BERT ABSA,42,9,restaurant,3602,0.0079,0.6827,0.551,0.8269,0.4588,0.3673
