model,domain,status,n_examples,seed,accuracy,precision,recall,macro_f1,positive_f1,negative_f1,neutral_f1
Standard BERT ABSA,val,ok,122,42,0.8279,,,0.4645,0.9135,0.48,0.0
Standard BERT ABSA,in_domain,ok,123,42,0.9024,,,0.6369,0.9488,0.7619,0.2
Standard BERT ABSA,laptop,ok,2313,42,0.6857,,,0.516,0.7922,0.7302,0.0256
Standard BERT ABSA,restaurant,ok,3602,42,0.7013,,,0.4833,0.824,0.6135,0.0124
Standard BERT ABSA,val,ok,122,1,0.8607,,,0.5125,0.9289,0.6087,0.0
Standard BERT ABSA,in_domain,ok,123,1,0.9106,,,0.6377,0.9541,0.7368,0.2222
Standard BERT ABSA,laptop,ok,2313,1,0.6788,,,0.5042,0.7767,0.7316,0.0043
Standard BERT ABSA,restaurant,ok,3602,1,0.7066,,,0.4849,0.8251,0.6172,0.0124
Standard BERT ABSA,val,ok,122,7,0.8689,,,0.4872,0.9352,0.5263,0.0
Standard BERT ABSA,in_domain,ok,123,7,0.9106,,,0.6969,0.9493,0.7778,0.3636
Standard BERT ABSA,laptop,ok,2313,7,0.6325,,,0.4775,0.7436,0.672,0.0169
Standard BERT ABSA,restaurant,ok,3602,7,0.6319,,,0.4209,0.7781,0.4754,0.0093
Standard BERT ABSA,val,ok,122,2024,0.8525,,,0.42,0.9266,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,2024,0.8943,,,0.5837,0.9455,0.5556,0.25
Standard BERT ABSA,laptop,ok,2313,2024,0.6935,,,0.5433,0.7882,0.7415,0.1002
Standard BERT ABSA,restaurant,ok,3602,2024,0.6871,,,0.4609,0.8204,0.5474,0.015
Standard BERT ABSA,val,ok,122,123,0.8607,,,0.4281,0.9315,0.3529,0.0
Standard BERT ABSA,in_domain,ok,123,123,0.9106,,,0.6224,0.9507,0.6667,0.25
Standard BERT ABSA,laptop,ok,2313,123,0.6628,,,0.5032,0.7606,0.7114,0.0377
Standard BERT ABSA,restaurant,ok,3602,123,0.6835,,,0.4701,0.8103,0.5667,0.0333
Standard BERT ABSA,val,ok,122,0,0.8607,,,0.463,0.9346,0.4545,0.0
Standard BERT ABSA,in_domain,ok,123,0,0.9187,,,0.579,0.9593,0.7778,0.0
Standard BERT ABSA,laptop,ok,2313,0,0.6706,,,0.5275,0.7668,0.7174,0.0983
Standard BERT ABSA,restaurant,ok,3602,0,0.6713,,,0.4819,0.8141,0.457,0.1747
Standard BERT ABSA,val,ok,122,2,0.8361,,,0.4181,0.9209,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,2,0.8862,,,0.5358,0.9406,0.6667,0.0
Standard BERT ABSA,laptop,ok,2313,2,0.6645,,,0.5026,0.7731,0.7007,0.0341
Standard BERT ABSA,restaurant,ok,3602,2,0.6519,,,0.4189,0.7896,0.4579,0.0093
Standard BERT ABSA,val,ok,122,3,0.8279,,,0.5571,0.9064,0.64,0.125
Standard BERT ABSA,in_domain,ok,123,3,0.8618,,,0.6867,0.9179,0.8421,0.3
Standard BERT ABSA,laptop,ok,2313,3,0.6502,,,0.4815,0.7364,0.7081,0.0
Standard BERT ABSA,restaurant,ok,3602,3,0.696,,,0.4709,0.8172,0.5923,0.0031
Standard BERT ABSA,val,ok,122,5,0.8443,,,0.4183,0.9217,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,5,0.9187,,,0.7016,0.9545,0.7059,0.4444
Standard BERT ABSA,laptop,ok,2313,5,0.6541,,,0.487,0.7582,0.6985,0.0043
Standard BERT ABSA,restaurant,ok,3602,5,0.676,,,0.4556,0.8068,0.5478,0.0123
Standard BERT ABSA,val,ok,122,10,0.8279,,,0.4369,0.9108,0.4,0.0
Standard BERT ABSA,in_domain,ok,123,10,0.9106,,,0.7021,0.9493,0.8235,0.3333
Standard BERT ABSA,laptop,ok,2313,10,0.6628,,,0.4958,0.7702,0.7044,0.0129
Standard BERT ABSA,restaurant,ok,3602,10,0.6857,,,0.4716,0.8158,0.5603,0.0386
Standard BERT ABSA,val,ok,122,50,0.8607,,,0.5003,0.9296,0.5714,0.0
Standard BERT ABSA,in_domain,ok,123,50,0.8862,,,0.666,0.9346,0.7778,0.2857
Standard BERT ABSA,laptop,ok,2313,50,0.5975,,,0.4556,0.6918,0.6165,0.0586
Standard BERT ABSA,restaurant,ok,3602,50,0.6607,,,0.4172,0.7912,0.4046,0.0559
Standard BERT ABSA,val,ok,122,99,0.8607,,,0.5056,0.9333,0.5833,0.0
Standard BERT ABSA,in_domain,ok,123,99,0.8943,,,0.6699,0.9395,0.7368,0.3333
Standard BERT ABSA,laptop,ok,2313,99,0.6412,,,0.4768,0.7406,0.6856,0.0043
Standard BERT ABSA,restaurant,ok,3602,99,0.6824,,,0.4499,0.808,0.5262,0.0155
Standard BERT ABSA,val,ok,122,100,0.8607,,,0.4767,0.9302,0.5,0.0
Standard BERT ABSA,in_domain,ok,123,100,0.8943,,,0.6598,0.9401,0.7059,0.3333
Standard BERT ABSA,laptop,ok,2313,100,0.6654,,,0.5182,0.7722,0.7068,0.0757
Standard BERT ABSA,restaurant,ok,3602,100,0.6538,,,0.4745,0.7975,0.5336,0.0925
Standard BERT ABSA,val,ok,122,314,0.8197,,,0.4352,0.9057,0.4,0.0
Standard BERT ABSA,in_domain,ok,123,314,0.8943,,,0.621,0.9444,0.7368,0.1818
Standard BERT ABSA,laptop,ok,2313,314,0.6239,,,0.5442,0.7474,0.6308,0.2543
Standard BERT ABSA,restaurant,ok,3602,314,0.6777,,,0.4699,0.8104,0.512,0.0874
Standard BERT ABSA,val,ok,122,555,0.8525,,,0.4265,0.9266,0.3529,0.0
Standard BERT ABSA,in_domain,ok,123,555,0.9106,,,0.6723,0.9502,0.6667,0.4
Standard BERT ABSA,laptop,ok,2313,555,0.6619,,,0.5017,0.7504,0.7131,0.0416
Standard BERT ABSA,restaurant,ok,3602,555,0.6877,,,0.4639,0.8139,0.5412,0.0366
Standard BERT ABSA,val,ok,122,777,0.8279,,,0.444,0.9108,0.4211,0.0
Standard BERT ABSA,in_domain,ok,123,777,0.8943,,,0.6568,0.9401,0.6667,0.3636
Standard BERT ABSA,laptop,ok,2313,777,0.6481,,,0.5389,0.7491,0.6873,0.1804
Standard BERT ABSA,restaurant,ok,3602,777,0.6491,,,0.4082,0.7826,0.3491,0.0929
Standard BERT ABSA,val,ok,122,999,0.8279,,,0.4164,0.9159,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,999,0.9024,,,0.6461,0.9498,0.625,0.3636
Standard BERT ABSA,laptop,ok,2313,999,0.6935,,,0.5288,0.798,0.7381,0.0503
Standard BERT ABSA,restaurant,ok,3602,999,0.6777,,,0.4838,0.8162,0.5752,0.06
Standard BERT ABSA,val,ok,122,1234,0.8279,,,0.4517,0.9108,0.4444,0.0
Standard BERT ABSA,in_domain,ok,123,1234,0.8943,,,0.6704,0.9444,0.6667,0.4
Standard BERT ABSA,laptop,ok,2313,1234,0.6316,,,0.4918,0.7177,0.6813,0.0765
Standard BERT ABSA,restaurant,ok,3602,1234,0.6718,,,0.4688,0.8039,0.4594,0.143
Standard BERT ABSA,val,ok,122,2023,0.8279,,,0.4161,0.9151,0.3333,0.0
Standard BERT ABSA,in_domain,ok,123,2023,0.8943,,,0.6074,0.9406,0.6316,0.25
Standard BERT ABSA,laptop,ok,2313,2023,0.5655,,,0.4122,0.6677,0.5647,0.0043
Standard BERT ABSA,restaurant,ok,3602,2023,0.6469,,,0.389,0.7851,0.3787,0.0031
Standard BERT ABSA,val,ok,122,4096,0.8525,,,0.4568,0.9259,0.4444,0.0
Standard BERT ABSA,in_domain,ok,123,4096,0.9024,,,0.552,0.9502,0.7059,0.0
Standard BERT ABSA,laptop,ok,2313,4096,0.6641,,,0.5054,0.7734,0.7057,0.0372
Standard BERT ABSA,restaurant,ok,3602,4096,0.6269,,,0.435,0.7797,0.5014,0.0237
Extended BERT ABSA,val,ok,122,42,0.8361,,,0.3891,0.9174,0.25,0.0
Extended BERT ABSA,in_domain,ok,123,42,0.8943,,,0.6167,0.9455,0.5714,0.3333
Extended BERT ABSA,laptop,ok,2313,42,0.6706,,,0.6019,0.7815,0.6849,0.3392
Extended BERT ABSA,restaurant,ok,3602,42,0.6802,,,0.5482,0.8262,0.4495,0.3687
RoBERTa ABSA,val,ok,122,42,0.8607,,,0.441,0.9231,0.4,0.0
RoBERTa ABSA,in_domain,ok,123,42,0.9106,,,0.6237,0.9545,0.6667,0.25
RoBERTa ABSA,laptop,ok,2313,42,0.7255,,,0.6771,0.8184,0.7438,0.469
RoBERTa ABSA,restaurant,ok,3602,42,0.7351,,,0.6066,0.8472,0.6265,0.3463
Extended BERT ABSA,val,ok,122,1,0.8197,,,0.3444,0.9083,0.125,0.0
Extended BERT ABSA,in_domain,ok,123,1,0.9106,,,0.5915,0.9554,0.5333,0.2857
Extended BERT ABSA,laptop,ok,2313,1,0.6835,,,0.5272,0.7737,0.7453,0.0625
Extended BERT ABSA,restaurant,ok,3602,1,0.6929,,,0.5153,0.8265,0.559,0.1604
RoBERTa ABSA,val,ok,122,1,0.8689,,,0.4076,0.9369,0.2857,0.0
RoBERTa ABSA,in_domain,ok,123,1,0.8537,,,0.4866,0.9309,0.375,0.1538
RoBERTa ABSA,laptop,ok,2313,1,0.7043,,,0.6487,0.799,0.7494,0.3977
RoBERTa ABSA,restaurant,ok,3602,1,0.688,,,0.5905,0.8186,0.5695,0.3836
Extended BERT ABSA,val,ok,122,7,0.8689,,,0.422,0.9327,0.3333,0.0
Extended BERT ABSA,in_domain,ok,123,7,0.9106,,,0.6555,0.9507,0.5714,0.4444
Extended BERT ABSA,laptop,ok,2313,7,0.6978,,,0.6351,0.7912,0.7299,0.3841
Extended BERT ABSA,restaurant,ok,3602,7,0.6985,,,0.5467,0.822,0.5565,0.2617
