seed,epoch,domain,n_examples,train_loss,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1
42,1,val,122,1.0952,0.877,0.3115,0.9345,0.0,0.0
42,1,in_domain,123,1.0952,0.878,0.3117,0.9351,0.0,0.0
42,1,laptop,2313,1.0952,0.4267,0.1994,0.5982,0.0,0.0
42,1,restaurant,3602,1.0952,0.6008,0.2502,0.7506,0.0,0.0
42,2,val,122,1.1337,0.877,0.3115,0.9345,0.0,0.0
42,2,in_domain,123,1.1337,0.878,0.3117,0.9351,0.0,0.0
42,2,laptop,2313,1.1337,0.4272,0.2002,0.5984,0.0023,0.0
42,2,restaurant,3602,1.1337,0.6008,0.2502,0.7506,0.0,0.0
42,3,val,122,0.9899,0.8197,0.425,0.9048,0.3704,0.0
42,3,in_domain,123,0.9899,0.9024,0.5312,0.9537,0.64,0.0
42,3,laptop,2313,0.9899,0.6969,0.5159,0.7769,0.7708,0.0
42,3,restaurant,3602,0.9899,0.7007,0.4696,0.8156,0.5902,0.0032
42,4,val,122,0.6537,0.877,0.4538,0.9327,0.4286,0.0
42,4,in_domain,123,0.6537,0.9187,0.6517,0.955,0.6667,0.3333
42,4,laptop,2313,0.6537,0.6853,0.5494,0.7556,0.7556,0.1369
42,4,restaurant,3602,0.6537,0.691,0.4645,0.8059,0.5391,0.0485
42,5,val,122,0.5535,0.8197,0.4022,0.9065,0.3,0.0
42,5,in_domain,123,0.5535,0.9187,0.718,0.9541,0.7,0.5
42,5,laptop,2313,0.5535,0.7315,0.6705,0.8144,0.7717,0.4254
42,5,restaurant,3602,0.5535,0.7135,0.5432,0.827,0.6138,0.1889
42,6,val,122,0.3185,0.8115,0.4897,0.8986,0.4167,0.1538
42,6,in_domain,123,0.3185,0.8943,0.6855,0.9479,0.6087,0.5
42,6,laptop,2313,0.3185,0.7428,0.6899,0.8149,0.7953,0.4595
42,6,restaurant,3602,0.3185,0.7404,0.626,0.8518,0.6766,0.3498
42,7,val,122,0.2523,0.8443,0.4282,0.9209,0.3636,0.0
42,7,in_domain,123,0.2523,0.8943,0.5193,0.9493,0.6087,0.0
42,7,laptop,2313,0.2523,0.7544,0.6901,0.8265,0.7943,0.4496
42,7,restaurant,3602,0.2523,0.7354,0.5842,0.8443,0.6684,0.24
42,8,val,122,0.1613,0.8197,0.4784,0.9048,0.3636,0.1667
42,8,in_domain,123,0.1613,0.9268,0.7997,0.9626,0.6364,0.8
42,8,laptop,2313,0.1613,0.7462,0.6977,0.8215,0.7918,0.4798
42,8,restaurant,3602,0.1613,0.7396,0.6253,0.8481,0.6701,0.3576
42,9,val,122,0.112,0.8443,0.4072,0.9217,0.3,0.0
42,9,in_domain,123,0.112,0.9187,0.718,0.9541,0.7,0.5
42,9,laptop,2313,0.112,0.7492,0.6991,0.8239,0.7819,0.4916
42,9,restaurant,3602,0.112,0.7288,0.595,0.836,0.6471,0.3018
42,10,val,122,0.1099,0.8279,0.4851,0.91,0.3636,0.1818
42,10,in_domain,123,0.1099,0.9187,0.718,0.9541,0.7,0.5
42,10,laptop,2313,0.1099,0.7553,0.7085,0.8286,0.7893,0.5076
42,10,restaurant,3602,0.1099,0.7363,0.6128,0.8426,0.6585,0.3374
1,1,val,122,1.1215,0.0574,0.0362,0.0,0.0,0.1085
1,1,in_domain,123,1.1215,0.0407,0.026,0.0,0.0,0.0781
1,1,laptop,2313,1.1215,0.1989,0.1106,0.0,0.0,0.3318
1,1,restaurant,3602,1.1215,0.1757,0.0996,0.0,0.0,0.2989
1,2,val,122,1.157,0.8607,0.4032,0.9238,0.2857,0.0
1,2,in_domain,123,1.157,0.8943,0.4723,0.9464,0.4706,0.0
1,2,laptop,2313,1.157,0.4401,0.2326,0.6035,0.0899,0.0043
1,2,restaurant,3602,1.157,0.6033,0.2619,0.7519,0.0338,0.0
1,3,val,122,1.0352,0.8607,0.3982,0.9279,0.2667,0.0
1,3,in_domain,123,1.0352,0.9024,0.5021,0.9507,0.5556,0.0
1,3,laptop,2313,1.0352,0.5551,0.392,0.6634,0.5127,0.0
1,3,restaurant,3602,1.0352,0.6102,0.281,0.7571,0.0858,0.0
1,4,val,122,0.7811,0.8197,0.4392,0.9038,0.4138,0.0
1,4,in_domain,123,0.7811,0.8862,0.4831,0.9493,0.5,0.0
1,4,laptop,2313,0.7811,0.7112,0.5402,0.8047,0.7703,0.0455
1,4,restaurant,3602,0.7811,0.7093,0.4925,0.8254,0.6049,0.0471
1,5,val,122,0.5899,0.8115,0.4557,0.9005,0.3333,0.1333
1,5,in_domain,123,0.5899,0.8699,0.5871,0.939,0.5556,0.2667
1,5,laptop,2313,0.5899,0.6978,0.6264,0.788,0.7646,0.3268
1,5,restaurant,3602,0.5899,0.6816,0.5764,0.8163,0.5405,0.3725
1,6,val,122,0.394,0.8443,0.4072,0.9217,0.3,0.0
1,6,in_domain,123,0.394,0.9106,0.5288,0.955,0.6316,0.0
1,6,laptop,2313,0.394,0.7198,0.5956,0.7997,0.7716,0.2157
1,6,restaurant,3602,0.394,0.714,0.5357,0.8308,0.591,0.1854
1,7,val,122,0.4283,0.8279,0.466,0.9108,0.3333,0.1538
1,7,in_domain,123,0.4283,0.8618,0.6232,0.9289,0.625,0.3158
1,7,laptop,2313,0.4283,0.6844,0.6559,0.7677,0.7512,0.4488
1,7,restaurant,3602,0.4283,0.6305,0.5674,0.7729,0.5213,0.4079
1,8,val,122,0.3091,0.8279,0.4039,0.9116,0.3,0.0
1,8,in_domain,123,0.3091,0.8862,0.5734,0.9488,0.5714,0.2
1,8,laptop,2313,0.3091,0.7155,0.6567,0.8,0.7743,0.3958
1,8,restaurant,3602,0.3091,0.7091,0.6153,0.8345,0.6027,0.4086
1,9,val,122,0.1757,0.8361,0.4056,0.9167,0.3,0.0
1,9,in_domain,123,0.1757,0.8943,0.5936,0.9493,0.6316,0.2
1,9,laptop,2313,0.1757,0.7211,0.6632,0.8,0.7748,0.4149
1,9,restaurant,3602,0.1757,0.7132,0.6117,0.8386,0.5916,0.4048
1,10,val,122,0.198,0.8361,0.4056,0.9167,0.3,0.0
1,10,in_domain,123,0.198,0.8943,0.5936,0.9493,0.6316,0.2
1,10,laptop,2313,0.198,0.7229,0.6639,0.8023,0.7748,0.4145
1,10,restaurant,3602,0.198,0.7157,0.6116,0.8412,0.5903,0.4034
7,1,val,122,1.1226,0.877,0.3115,0.9345,0.0,0.0
